SubNo,subject_label,trial_index,rt,block,village,face1,face2,false_time,mean_false,mean_rt,session_date,source_file
10,S10,7,10.1925535,3,3,5,6,1.0,10.1925535,1.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,8,3.27038690000018,3,2,3,4,0.0,6.7314702000001,0.5,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,9,3.75393769999982,3,1,1,2,0.0,5.73895936666668,0.333333333333333,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,10,4.50448000000006,4,3,5,6,0.0,4.50448000000006,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,11,3.20346410000002,4,2,3,4,0.0,3.85397205000004,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,12,10.4760185999999,4,1,1,2,0.0,6.06132089999998,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,13,2.56960560000016,5,1,1,2,0.0,2.56960560000016,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,14,1.93577469999991,5,2,3,4,0.0,2.25269015000003,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,15,4.25440049999997,5,3,5,6,1.0,2.91992693333335,0.333333333333333,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,16,2.2195426000003,6,1,1,2,0.0,2.2195426000003,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,17,2.06920919999993,6,2,3,4,0.0,2.14437590000011,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
10,S10,18,2.93665329999976,6,3,5,6,0.0,2.40846836666666,0.0,2026-03-29,SPtask1-10-2026-03-29.csv
11,S11,1,7.736388499999521,2,3,4,3,7.736388499999521,3.0,1.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,2,5.201787850000073,1,1,2,1,2.667187200000626,2.0,1.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,3,4.31205349999982,3,5,6,2,2.532584799999313,2.0,1.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,4,2.212508299999172,3,5,6,2,2.212508299999172,2.0,2.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,5,3.358582849999948,1,1,2,4,4.504657400000724,3.0,2.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,6,3.9025073333329297,2,3,4,2,4.9903562999988935,2.6666666666666665,2.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,7,3.101894599998559,3,5,6,2,3.101894599998559,2.0,3.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,8,2.9427105499999016,2,3,4,0,2.783526500001244,1.0,3.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,9,3.4880900666667003,1,1,2,4,4.578849100000298,2.0,3.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,10,3.5175409999992553,3,5,6,1,3.5175409999992553,1.0,4.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,11,3.59226364999995,1,1,2,2,3.6669863000006444,1.5,4.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,12,3.189604399999856,2,3,4,1,2.384285899999668,1.3333333333333333,4.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,13,2.060353799999575,3,5,6,3,2.060353799999575,3.0,5.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,14,2.3511907499996596,2,3,4,4,2.642027699999744,3.5,5.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,15,2.365731133333005,1,1,2,3,2.394811899999695,3.3333333333333335,5.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,16,3.6921031000001676,1,1,2,4,3.6921031000001676,4.0,6.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,17,3.743995449999602,3,5,6,3,3.7958877999990364,3.5,6.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,18,4.030987866666085,2,3,4,3,4.604972699999053,3.3333333333333335,6.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,19,2.231172100000549,2,3,4,0,2.231172100000549,0.0,7.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,20,3.7296173000004273,1,1,2,4,5.228062500000306,2.0,7.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,21,3.681256966667206,3,5,6,1,3.5845363000007637,1.6666666666666667,7.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,22,7.02706980000039,2,3,4,4,7.02706980000039,4.0,8.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,23,5.955693700000666,3,5,6,1,4.884317600000941,2.5,8.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,24,5.307768300000437,1,1,2,2,4.011917499999981,2.3333333333333335,8.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,25,14.841711600000053,1,1,2,0,14.841711600000053,0.0,9.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,26,9.240424650000023,3,5,6,0,3.639137699999992,0.0,9.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,27,7.548404633333121,2,3,4,0,4.164364599999317,0.0,9.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,28,4.014083499998378,2,3,4,0,4.014083499998378,0.0,10.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,29,6.877131149999514,1,1,2,3,9.740178800000649,1.5,10.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,30,6.504886833333027,3,5,6,0,5.760398200000054,1.0,10.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,31,7.114354399998774,1,1,2,3,7.114354399998774,3.0,11.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,32,8.944899999999507,3,5,6,0,10.77544560000024,1.5,11.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,33,7.009278733333001,2,3,4,0,3.1380361999999877,1.0,11.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,34,3.961608100000376,2,3,4,0,3.961608100000376,0.0,12.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,35,4.0049111500002255,3,5,6,0,4.048214200000075,0.0,12.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
11,S11,36,4.244336866666951,1,1,2,0,4.723188300000402,0.0,12.0,2025-11-25,SPtask1-11-2025-11-25.xlsx
