SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3
37,pqh,Male,20,Right,4,2,318.915,350.247,3,2,249.537,218.205,?,284.226,284.226,2,112,56,125.219806739988,27.0155132877535,272,270,23.6155678877531,176,248,29.7297697258464
37,pqh,Male,20,Right,4,2,318.915,350.247,5,3,194.333,160.39,?,256.624,255.3185,0,134,176,221.205786542758,31.5505720789088,,,,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,1,1,22.38,231.26,?,96.98,234.0575,1,29.9999999999998,120,123.69316876853,23.6013801877534,94,238,9.72393467890925,,,
37,pqh,Male,20,Right,3,2,249.537,218.205,4,2,318.915,350.247,?,284.226,284.226,2,120,52,130.782261794175,9.23276118775357,278,268,11.4698054877526,188,248,23.2959437877535
37,pqh,Male,20,Right,5,3,194.333,160.39,2,1,171.58,236.855,O,182.9565,198.6225,0,80,234,247.29739181803,65.9225645877523,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,2,1,171.58,236.855,?,245.2475,293.551,0,232,52,237.756177627417,24.7153717789088,,,,,,
37,pqh,Male,20,Right,4,2,318.915,350.247,1,1,22.38,231.26,?,170.6475,290.7535,0,246,70,255.765517613301,49.5322392789094,,,,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,2,1,171.58,236.855,?,96.98,234.0575,1,19.9999999999998,102,103.94229168149,19.2335826877534,94,238,21.4625005877524,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,6,3,273.782,33.943,?,234.0575,97.1665,2,114,36,119.549153071028,33.3479420231279,238.396220324407,83.8848809193842,12.3535987612213,166,134,38.4237744789089
37,pqh,Male,20,Right,3,2,249.537,218.205,5,3,194.333,160.39,O,221.935,189.2975,0,42,192,196.54007224991,32.9060058789091,,,,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,4,2,318.915,350.247,?,245.2475,293.551,0,238,48,242.792092128224,16.8287095612213,,,,,,
37,pqh,Male,20,Right,5,3,194.333,160.39,2,1,171.58,236.855,O,182.9565,198.6225,0,76,190,204.636262671111,33.1275762965952,,,,,,
37,pqh,Male,20,Right,6,3,273.782,33.943,1,1,22.38,231.26,?,148.081,132.6015,0,204,68,215.03488089145,25.1215785965951,,,,,,
37,pqh,Male,20,Right,3,2,249.537,218.205,1,1,22.38,231.26,?,135.9585,224.7325,0,124,122,173.954016912516,24.2582958789089,,,,,,
37,pqh,Male,20,Right,2,1,171.58,236.855,3,2,249.537,218.205,P,210.5585,227.53,1,116,14,116.841773351828,23.1339902877517,160,308,14.2840195789104,,,
37,pqh,Male,20,Right,1,1,22.38,231.26,4,2,318.915,350.247,?,170.6475,290.7535,2,252,78,263.795375243767,45.0947337789075,216,224,14.5094091523788,186,250,28.8109397612225
37,pqh,Male,20,Right,1,1,22.38,231.26,4,2,318.915,350.247,?,170.6475,290.7535,0,272,78,282.962895094039,52.4212942877512,,,,,,
