SubNo,raw_village_pair,pair_condition,estimate_type,n_matches,center_x_0to10,center_y_0to10,distance_to_true,distance_to_derived,true_center_x,true_center_y
12,AC,near,same_edges,2,3.482428115015974,3.5463258785942493,1.3284291914231954,1.1187279595021746,4.4395,4.4395
12,BC,unknown,cross_edges,2,7.035442294727533,4.856054892620393,0.599760991432044,0.8177982912927844,6.949,5.111999999999999
12,BC,unknown,same_edges,2,7.092651757188499,5.303514376996805,0.6552744769071113,0.3242341619932642,6.949,5.111999999999999
13,AB,near,cross_edges,2,4.675,7.25,0.6071403638839128,0.49938016299370014,5.112,6.949
13,AB,near,same_edges,2,5.375,6.725,0.3894490446760622,0.3693372277600949,5.112,6.949
13,AC,far,cross_edges,2,4.3999999999999995,4.1,0.4664665822807903,0.5103536510068439,4.4395,4.4395
13,AC,far,same_edges,2,5.1000000000000005,5.05,0.9160653471683555,0.8970254500916099,4.4395,4.4395
13,BC,unknown,cross_edges,2,6.9499657383688636,4.123691601093927,0.999833257013834,0.5983321380864657,6.949,5.111999999999999
13,BC,unknown,same_edges,2,7.225,4.95,0.33353664772956976,0.20360788357767642,6.949,5.111999999999999
14,AB,far,cross_edges,2,4.984025559105431,7.44408945686901,0.5878510444606461,0.7946708858905965,5.112,6.949
14,AB,far,same_edges,2,6.038338658146966,7.092651757188499,1.3645644494769704,1.3367590729290733,5.112,6.949
14,AC,near,cross_edges,2,5.335463258785943,4.15335463258786,1.0766604324137907,1.2548263482780266,4.4395,4.4395
14,AC,near,same_edges,2,6.2300319488817895,6.453674121405751,2.8496372546466167,2.6544922735052214,4.4395,4.4395
14,BC,unknown,cross_edges,2,7.827476038338658,6.3897763578274756,1.6439125075995822,1.527765619159302,6.949,5.111999999999999
14,BC,unknown,same_edges,2,7.476038338658147,6.261980830670927,1.3098651543722786,1.7413443651564386,6.949,5.111999999999999
15,AB,near,cross_edges,2,3.464189864705175,3.8680480439147478,3.643939469859482,0.27449182010012224,5.112,6.949
15,AB,near,same_edges,2,5.109286891634115,6.99225798124852,0.04671721549702372,0.054119835810881964,5.112,6.949
15,AC,far,cross_edges,2,2.088904697251114,1.8385441199492751,3.638170028861693,1.3704868880222119,4.4395,4.4395
15,AC,far,same_edges,2,0.8624817593100575,0.8525071992336943,5.070978861895863,0.17272376490660524,4.4395,4.4395
15,BC,unknown,cross_edges,2,1.3556644183104056,2.0412996469350775,6.383452324959492,1.0368923549826308,6.949,5.111999999999999
15,BC,unknown,same_edges,2,1.2580946208752877,1.47962663912876,6.78190026759585,0.8188210702815975,6.949,5.111999999999999
16,AB,far,cross_edges,2,5.175718849840255,7.18849840255591,0.37753613496316246,0.08623555331738225,5.112,6.949
16,AB,far,same_edges,2,4.952076677316294,7.0287539936102235,0.17928963015881316,0.2631550810844142,5.112,6.949
16,AC,near,cross_edges,2,5.4313099041533555,5.4313099041533555,1.9880318448695267,1.801171361494263,4.4395,4.4395
16,AC,near,same_edges,2,4.121405750798722,4.121405750798722,0.452210432170011,0.4926364277102358,4.4395,4.4395
