SubNo,Name,Gender,Age,Handedness,F1,F1V,F1X,F1Y,F2,F2V,F2X,F2Y,D,MidX,MidY,Mtask,DX,DY,ans_D,rt1,MX,MY,rt2,MMX,MMY,rt3,source,source_date,trial_index,square_side_max_abs_error_px,proc1_day3_date,day_index,square_side_rmse_px,square_side_px,scale_source,pd_date_matches_proc1_day3,F1X_0to10,F1Y_0to10,F2X_0to10,F2Y_0to10,MidX_0to10,MidY_0to10,MX_0to10,MY_0to10,MMX_0to10,MMY_0to10,DX_0to10,DY_0to10,D_0to10,ans_D_0to10,raw_condition,condition,relationship,distance_nested,learned_D_0to10,d_error_0to10,pair_label
15,xhty,Male,21,Right,6,3,293.6,36.4,5,3,208.4,172.0,160.1449343563511,251.0,104.2,2,56.416663541753984,32.57217588261214,65.14435176522439,2.4160744000000705,50.94039872509765,35.01036606733346,2.2330888999995295,49.038285692507344,35.62840005608336,2.1744533000000956,PDtask-15-2025-12-06.mat,2025-12-06,47,0.0,2025-12-06,3,0.0,400,proc1_day3,True,7.340000000000001,0.9099999999999999,5.21,4.3,6.2749999999999995,2.605,1.273509968127441,0.8752591516833365,1.2259571423126836,0.890710001402084,1.4104165885438498,0.8143043970653036,4.0036233589087775,1.6286087941306095,same,same,same,,3.000408305547763,-1.3717995114171533,5-6
15,xhty,Male,21,Right,2,1,184.0,254.0,5,3,208.4,172.0,85.55325826641555,196.2,213.0,0,49.038285692507344,35.62840005608336,60.6146546159944,2.167540000000372,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,48,0.0,2025-12-06,3,0.0,400,proc1_day3,True,4.6000000000000005,6.35,5.21,4.3,4.905,5.324999999999999,,,,,1.2259571423126836,0.890710001402084,2.1388314566603888,1.51536636539986,AC,far,different,far,6.1185006333251275,-4.603134267925268,2-5
15,xhty,Male,21,Right,2,1,184.0,254.0,5,3,208.4,172.0,85.55325826641555,196.2,213.0,0,49.038285692507344,35.62840005608336,60.6146546159944,2.185000200000104,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,49,0.0,2025-12-06,3,0.0,400,proc1_day3,True,4.6000000000000005,6.35,5.21,4.3,4.905,5.324999999999999,,,,,1.2259571423126836,0.890710001402084,2.1388314566603888,1.51536636539986,AC,far,different,far,6.1185006333251275,-4.603134267925268,2-5
15,xhty,Male,21,Right,4,2,342.00000000000006,375.6,1,1,24.0,248.0,342.6452392781783,183.00000000000003,311.8,0,58.14871434932286,31.572175882612136,66.16702555232283,2.48075770000014,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,50,0.0,2025-12-06,3,0.0,400,proc1_day3,True,8.55,9.39,0.6,6.2,4.575000000000001,7.795000000000001,,,,,1.4537178587330715,0.7893043970653034,8.566130981954457,1.6541756388080706,AB,near,different,near,6.685056843438207,-5.030881204630136,1-4
15,xhty,Male,21,Right,5,3,208.4,172.0,3,2,267.6,234.0,85.72420894939773,238.0,203.0,0,58.14871434932286,31.572175882612136,66.16702555232283,2.4810772000000725,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,51,0.0,2025-12-06,3,0.0,400,proc1_day3,True,5.21,4.3,6.69,5.85,5.949999999999999,5.074999999999999,,,,,1.4537178587330715,0.7893043970653034,2.1431052237349437,1.6541756388080706,BC,unknown,different,unknown,6.684913836393106,-5.030738197585035,3-5
15,xhty,Male,21,Right,6,3,293.6,36.4,1,1,24.0,248.0,342.7225116621317,158.8,142.2,0,45.150138838461594,36.561861527923924,58.097373051795046,2.049019400000361,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,52,0.0,2025-12-06,3,0.0,400,proc1_day3,True,7.340000000000001,0.9099999999999999,0.6,6.2,3.97,3.5549999999999997,,,,,1.1287534709615399,0.914046538198098,8.568062791553292,1.452434326294876,AC,far,different,far,5.482577678428278,-4.030143352133402,1-6
15,xhty,Male,21,Right,4,2,342.00000000000006,375.6,2,1,184.0,254.0,199.37542476443787,263.0,314.8,0,18.228204244728385,31.572175882612193,36.456408489456734,1.1742909000004147,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,53,0.0,2025-12-06,3,0.0,400,proc1_day3,True,8.55,9.39,4.6000000000000005,6.35,6.574999999999999,7.87,,,,,0.45570510611820964,0.7893043970653048,4.984385619110946,0.9114102122364183,AB,near,different,near,6.1185933841038995,-5.207183171867481,2-4
15,xhty,Male,21,Right,6,3,293.6,36.4,5,3,208.4,172.0,160.1449343563511,251.0,104.2,1,31.226779755589657,36.56186152792394,48.082028787179816,1.6119361999999455,16.550863108837536,30.482897812582138,1.1090432000000874,,,,PDtask-15-2025-12-06.mat,2025-12-06,54,0.0,2025-12-06,3,0.0,400,proc1_day3,True,7.340000000000001,0.9099999999999999,5.21,4.3,6.2749999999999995,2.605,0.41377157772093837,0.7620724453145534,,,0.7806694938897414,0.9140465381980984,4.0036233589087775,1.2020507196794954,same,same,same,,3.000408305547763,-1.7983575858682674,5-6
15,xhty,Male,21,Right,2,1,184.0,254.0,1,1,24.0,248.0,160.11246047700348,104.0,251.0,2,2.178093229692115,11.751939428072024,11.952078080329983,0.36198249999961263,19.960255052297263,32.57217588261219,1.2378693000000567,19.960255052297263,32.57217588261219,1.238433100000293,PDtask-15-2025-12-06.mat,2025-12-06,55,0.0,2025-12-06,3,0.0,400,proc1_day3,True,4.6000000000000005,6.35,0.6,6.2,2.6,6.2749999999999995,0.49900637630743155,0.8143043970653048,0.49900637630743155,0.8143043970653048,0.05445233074230288,0.2937984857018006,4.002811511925087,0.29880195200824955,same,same,same,,3.00027632060782,-2.70147436859957,1-2
15,xhty,Male,21,Right,5,3,208.4,172.0,1,1,24.0,248.0,199.44763723844915,116.2,210.0,0,23.5693590159592,34.293630168242885,41.612110671526814,1.36152519999996,,,,,,,PDtask-15-2025-12-06.mat,2025-12-06,56,0.0,2025-12-06,3,0.0,400,proc1_day3,True,5.21,4.3,0.6,6.2,2.905,5.25,,,,,0.58923397539898,0.857340754206072,4.986190930961229,1.0403027667881704,AC,far,different,far,3.7151457575712965,-2.674842990783126,1-5
