SubNo,source_date,prev_trial_index,trial_index,raw_village_pair,pair_condition,estimate_type,prev_pair_label,current_pair_label,center_x_0to10,center_y_0to10,prev_mid_x_0to10,prev_mid_y_0to10,current_mid_x_0to10,current_mid_y_0to10,derived_center_x_0to10,derived_center_y_0to10,true_center_x,true_center_y,distance_to_true,distance_to_derived
12,2026-04-12,21,22,BC,unknown,cross_edges,4-6,3-5,7.539936102236422,4.600638977635782,8.434504792332268,4.281150159744409,5.623003194888179,4.4089456869009584,7.0287539936102235,4.345047923322683,6.949,5.111999999999999,0.7814701351425737,0.5715189718849305
12,2026-04-12,46,47,BC,unknown,cross_edges,3-5,4-6,6.530948487218643,5.111470807605004,5.686900958466453,4.536741214057508,7.667731629392971,3.5782747603833864,6.677316293929712,4.057507987220447,6.949,5.111999999999999,0.4180518477215142,1.0640776107006382
12,2026-04-12,4,5,BC,unknown,same_edges,3-4,5-6,7.156549520766773,5.942492012779552,7.859424920127795,8.881789137380192,6.261980830670927,2.0447284345047922,7.060702875399361,5.463258785942492,6.949,5.111999999999999,0.8560337533422092,0.4887239150408413
12,2026-04-12,34,35,BC,unknown,same_edges,5-6,3-4,7.0287539936102235,4.664536741214057,6.453674121405751,1.9169329073482428,7.795527156549521,7.156549520766773,7.124600638977636,4.536741214057508,6.949,5.111999999999999,0.4545152004720133,0.15974440894568714
13,2025-12-06,6,7,AB,near,cross_edges,1-4,2-3,5.1,7.25,5.5,5.8,4.800000000000001,8.100000000000001,5.15,6.950000000000001,5.112,6.949,0.3012391076869006,0.30413812651491007
13,2025-12-06,31,32,AB,near,cross_edges,1-4,2-3,4.25,7.25,5.25,5.4,3.9500000000000006,7.9,4.6000000000000005,6.65,5.112,6.949,0.913041620080925,0.6946221994724903
13,2025-12-06,48,49,AB,near,same_edges,1-2,3-4,5.15,6.7,2.3888228567653784,6.29488887394336,7.6,7.3,4.994411428382689,6.79744443697168,5.112,6.949,0.25188290930509727,0.18358437274082706
13,2025-12-06,52,53,AB,near,same_edges,1-2,3-4,5.6000000000000005,6.75,2.5500000000000007,6.0,7.55,7.35,5.050000000000001,6.675,5.112,6.949,0.5270151800470271,0.5550900827793628
13,2025-12-06,37,38,AC,far,cross_edges,2-6,1-5,4.1,3.9000000000000004,5.0,5.2,3.55,3.3000000000000003,4.275,4.25,4.4395,4.4395,0.6374327415500395,0.3913118960624632
13,2025-12-06,59,60,AC,far,cross_edges,1-5,2-6,4.699999999999999,4.3,3.1921782767479883,3.100615582970243,4.95,5.45,4.071089138373994,4.275307791485122,4.4395,4.4395,0.2955004230115411,0.6293954059512247
13,2025-12-06,1,2,AC,far,same_edges,1-2,5-6,4.9,5.1,2.95,6.7,6.8999999999999995,2.4,4.925,4.55,4.4395,4.4395,0.8051835194537953,0.5505678886386308
13,2025-12-06,42,43,AC,far,same_edges,1-2,5-6,5.300000000000001,5.0,2.3000000000000003,6.3,6.15,2.45,4.2250000000000005,4.375,4.4395,4.4395,1.0269471748829158,1.243483011544589
13,2025-12-06,18,19,BC,unknown,cross_edges,4-6,3-5,6.799931476737728,3.9973832021878533,8.25,4.1,5.5,5.2,6.875,4.65,6.949,5.111999999999999,1.1245408087715612,0.656920062086217
13,2025-12-06,28,29,BC,unknown,cross_edges,4-6,3-5,7.1,4.25,8.2,4.2,5.59993147673773,5.3026167978121475,6.899965738368865,4.751308398906074,6.949,5.111999999999999,0.8751257052561069,0.5397442140867145
13,2025-12-06,13,14,BC,unknown,same_edges,5-6,3-4,7.0,5.0,6.550000000000001,2.3000000000000003,7.65,7.65,7.1000000000000005,4.9750000000000005,6.949,5.111999999999999,0.1230650234632076,0.10307764064044189
13,2025-12-06,24,25,BC,unknown,same_edges,3-4,5-6,7.45,4.9,7.75,7.45,6.550000000000001,2.25,7.15,4.85,6.949,5.111999999999999,0.5440082719959319,0.30413812651491096
14,2026-04-12,1,2,AB,far,cross_edges,1-4,2-3,5.239616613418531,6.964856230031949,5.047923322683706,5.942492012779552,5.49520766773163,8.05111821086262,5.271565495207668,6.996805111821086,5.112,6.949,0.128597900648653,0.04518254192885189
14,2026-04-12,26,27,AB,far,cross_edges,1-4,2-3,4.728434504792332,7.92332268370607,6.964856230031949,6.325878594249201,5.303514376996805,8.242811501597444,6.134185303514377,7.284345047923322,5.112,6.949,1.047104188272639,1.5441592298523412
14,2026-04-12,8,9,AB,far,same_edges,3-4,1-2,7.220447284345049,7.667731629392971,7.92332268370607,6.517571884984026,2.4920127795527156,6.261980830670927,5.2076677316293924,6.389776357827476,5.112,6.949,2.227582794410095,2.384208716524683
14,2026-04-12,17,18,AB,far,same_edges,3-4,1-2,4.856230031948882,6.517571884984026,7.348242811501597,6.3897763578274756,2.428115015974441,6.0702875399361025,4.888178913738019,6.2300319488817895,5.112,6.949,0.5015461045438461,0.28930942933346376
14,2026-04-12,39,40,AC,near,cross_edges,1-5,2-6,5.49520766773163,3.5782747603833864,3.450479233226837,2.6198083067092655,4.664536741214057,4.472843450479233,4.057507987220447,3.5463258785942493,4.4395,4.4395,1.3624344362427319,1.4380546242718089
14,2026-04-12,41,42,AC,near,cross_edges,1-5,2-6,5.175718849840255,4.728434504792332,3.1309904153354635,2.8753993610223643,6.261980830670927,4.664536741214057,4.696485623003195,3.7699680511182105,4.4395,4.4395,0.7908864285848497,1.0715980722842444
14,2026-04-12,51,52,AC,near,same_edges,5-6,1-2,5.559105431309904,7.092651757188499,7.412140575079872,2.3642172523961666,3.450479233226837,6.900958466453674,5.431309904153355,4.632587859424921,4.4395,4.4395,2.879710153555572,2.463381025712618
14,2026-04-12,59,60,AC,near,same_edges,5-6,1-2,6.900958466453674,5.814696485623003,6.3897763578274756,2.68370607028754,2.428115015974441,6.198083067092651,4.4089456869009584,4.440894568690096,4.4395,4.4395,2.8195643557376613,2.845603521297825
14,2026-04-12,22,23,BC,unknown,cross_edges,4-6,3-5,7.476038338658148,6.8370607028754,8.562300319488818,5.175718849840255,5.878594249201278,5.047923322683706,7.220447284345048,5.111821086261981,6.949,5.111999999999999,1.8037748859046994,1.7440695289400878
14,2026-04-12,46,47,BC,unknown,cross_edges,4-6,3-5,8.178913738019169,5.942492012779552,8.562300319488818,5.047923322683706,6.325878594249201,4.664536741214057,7.44408945686901,4.856230031948882,6.949,5.111999999999999,1.4840501292944652,1.3114617093785161
14,2026-04-12,14,15,BC,unknown,same_edges,3-4,5-6,7.0287539936102235,6.0702875399361025,7.348242811501597,6.8370607028754,6.5814696485623,3.1948881789137387,6.964856230031948,5.015974440894569,6.949,5.111999999999999,0.961600597282244,1.0562476201160729
14,2026-04-12,34,35,BC,unknown,same_edges,5-6,3-4,7.92332268370607,6.453674121405751,6.453674121405751,2.619808306709266,8.282223502373643,5.563483914522138,7.367948811889697,4.091646110615702,6.949,5.111999999999999,1.6581297114623132,2.4264411101968046
15,2025-12-06,13,14,AB,near,cross_edges,1-4,2-3,5.129026249802928,7.1035435043041675,5.62971148242564,5.87971148242564,4.678067675401125,8.221551557576348,5.1538895789133825,7.050631520000994,5.112,6.949,0.15547857699684542,0.05846249410822295
15,2025-12-06,57,58,AB,near,cross_edges,1-4,2-3,1.7993534796074222,0.6325525835253281,0.7806694938897414,0.9140465381980984,1.8370522366317108,0.34047750702665724,1.308860865260726,0.6272620226123778,5.112,6.949,7.132400362722119,0.4905211460920216
