SubNo,source,schema,face,village,ability_pct,warmth_pct,actual_ability,actual_warmth,projected_ability,projected_warmth,true_ability,true_warmth,delta_ability,delta_warmth,euclidean_error
12,MRtask-12-2026-04-12.mat,warmth_ability,1,1,27.02205882352941,52.0618556701031,147.0,303.0,2.702205882352941,5.206185567010309,2.416,4.788,0.2862058823529412,0.4181855670103092,0.5067474475013756
12,MRtask-12-2026-04-12.mat,warmth_ability,2,1,39.52205882352941,77.83505154639175,215.00000000000003,453.0,3.9522058823529416,7.783505154639175,2.789,7.765,1.1632058823529414,0.01850515463917546,1.1633530700044181
12,MRtask-12-2026-04-12.mat,warmth_ability,3,2,64.70588235294117,86.42611683848797,351.99999999999994,503.0,6.470588235294117,8.642611683848799,6.426,8.527,0.04458823529411671,0.11561168384879927,0.12391195329345038
12,MRtask-12-2026-04-12.mat,warmth_ability,4,2,90.25735294117648,59.79381443298969,491.00000000000006,348.0,9.025735294117649,5.979381443298969,8.817,6.716,0.20873529411764835,-0.736618556701031,0.7656221790718261
12,MRtask-12-2026-04-12.mat,warmth_ability,5,3,50.55147058823529,22.336769759450174,275.0,130.0,5.055147058823529,2.2336769759450172,4.894,2.02,0.16114705882352887,0.21367697594501722,0.26763076171561695
12,MRtask-12-2026-04-12.mat,warmth_ability,6,3,74.44852941176471,28.006872852233677,405.0,163.0,7.444852941176471,2.8006872852233675,7.659,3.185,-0.2141470588235288,-0.38431271477663254,0.4399491169916735
13,MRtask-13-2025-12-06.mat,legacy_xy,1,1,25.866666666666667,48.53333333333333,194.0,354.29333333333335,2.5866666666666664,4.8533333333333335,2.416,4.788,0.17066666666666652,0.06533333333333324,0.18274450896143363
13,MRtask-13-2025-12-06.mat,legacy_xy,2,1,32.0,74.0,240.0,540.2,3.2,7.4,2.789,7.765,0.41100000000000003,-0.3649999999999993,0.549678087611285
13,MRtask-13-2025-12-06.mat,legacy_xy,3,2,60.66666666666667,84.39999999999999,455.0,616.1199999999999,6.066666666666666,8.439999999999998,6.426,8.527,-0.3593333333333337,-0.08700000000000152,0.36971535597597915
13,MRtask-13-2025-12-06.mat,legacy_xy,4,2,91.46666666666667,63.866666666666674,686.0,466.2266666666667,9.146666666666668,6.386666666666667,8.817,6.716,0.3296666666666681,-0.3293333333333335,0.46598342841302476
13,MRtask-13-2025-12-06.mat,legacy_xy,5,3,48.266666666666666,18.933333333333334,362.0,138.21333333333334,4.826666666666666,1.8933333333333333,4.894,2.02,-0.06733333333333391,-0.1266666666666667,0.14345111439867697
13,MRtask-13-2025-12-06.mat,legacy_xy,6,3,72.13333333333334,29.333333333333332,541.0,214.13333333333333,7.213333333333334,2.9333333333333336,7.659,3.185,-0.445666666666666,-0.2516666666666665,0.5118152878616349
14,MRtask-14-2026-04-12.mat,warmth_ability,1,1,26.451612903225808,48.69565217391305,82.0,168.0,2.645161290322581,4.869565217391305,2.416,4.788,0.22916129032258103,0.0815652173913044,0.24324428394188632
14,MRtask-14-2026-04-12.mat,warmth_ability,2,1,32.58064516129032,73.04347826086956,101.0,252.0,3.258064516129032,7.304347826086957,2.789,7.765,0.4690645161290319,-0.4606521739130427,0.6574358870811472
14,MRtask-14-2026-04-12.mat,warmth_ability,3,2,54.516129032258064,85.5072463768116,169.0,295.0,5.451612903225806,8.55072463768116,6.426,8.527,-0.9743870967741941,0.023724637681160843,0.9746758808922815
14,MRtask-14-2026-04-12.mat,warmth_ability,4,2,88.06451612903226,63.76811594202898,273.0,219.99999999999997,8.806451612903226,6.3768115942028984,8.817,6.716,-0.010548387096774192,-0.33918840579710174,0.33935238778815563
14,MRtask-14-2026-04-12.mat,warmth_ability,5,3,45.483870967741936,48.69565217391305,141.0,168.0,4.548387096774194,4.869565217391305,4.894,2.02,-0.3456129032258062,2.8495652173913046,2.8704477363370553
14,MRtask-14-2026-04-12.mat,warmth_ability,6,3,70.96774193548387,35.65217391304348,220.0,123.0,7.096774193548388,3.5652173913043477,7.659,3.185,-0.5622258064516119,0.3802173913043476,0.6787216823488468
15,MRtask-15-2025-12-06.mat,legacy_xy,1,1,46.27450980392157,15.88235294117647,235.99999999999997,79.41176470588235,4.627450980392156,1.588235294117647,2.416,4.788,2.2114509803921565,-3.1997647058823535,3.8896027575689285
15,MRtask-15-2025-12-06.mat,legacy_xy,2,1,65.29411764705883,22.941176470588236,333.0,114.70588235294117,6.529411764705882,2.2941176470588234,2.789,7.765,3.740411764705882,-5.470882352941176,6.62730970223011
15,MRtask-15-2025-12-06.mat,legacy_xy,3,2,51.17647058823529,80.58823529411765,261.0,402.94117647058823,5.117647058823529,8.058823529411764,6.426,8.527,-1.3083529411764712,-0.46817647058823475,1.3895958499857355
15,MRtask-15-2025-12-06.mat,legacy_xy,4,2,82.15686274509804,66.27450980392156,419.0,331.3725490196078,8.215686274509803,6.6274509803921555,8.817,6.716,-0.601313725490197,-0.08854901960784467,0.6077985894491781
15,MRtask-15-2025-12-06.mat,legacy_xy,5,3,25.68627450980392,43.333333333333336,131.0,216.66666666666669,2.568627450980392,4.333333333333334,4.894,2.02,-2.325372549019608,2.313333333333334,3.2800714325826905
15,MRtask-15-2025-12-06.mat,legacy_xy,6,3,39.6078431372549,75.88235294117646,202.00000000000003,379.4117647058823,3.9607843137254903,7.588235294117647,7.659,3.185,-3.6982156862745095,4.403235294117646,5.7502417616627355
16,MRtask-16-2026-04-12.mat,warmth_ability,1,1,18.84057971014493,49.91896272285251,104.00000000000001,308.0,1.8840579710144931,4.991896272285251,2.416,4.788,-0.5319420289855068,0.20389627228525065,0.5696806228519966
16,MRtask-16-2026-04-12.mat,warmth_ability,2,1,23.007246376811594,76.33711507293354,127.0,471.0,2.300724637681159,7.633711507293355,2.789,7.765,-0.48827536231884094,-0.1312884927066449,0.5056179365536572
16,MRtask-16-2026-04-12.mat,warmth_ability,3,2,71.92028985507247,88.6547811993517,397.00000000000006,547.0,7.192028985507247,8.86547811993517,6.426,8.527,0.7660289855072469,0.3384781199351714,0.8374770709172342
16,MRtask-16-2026-04-12.mat,warmth_ability,4,2,92.57246376811594,68.88168557536467,511.0,425.0,9.257246376811594,6.888168557536467,8.817,6.716,0.4402463768115936,0.17216855753646687,0.4727143794088809
16,MRtask-16-2026-04-12.mat,warmth_ability,5,3,53.62318840579711,18.80064829821718,296.0,116.0,5.362318840579711,1.880064829821718,4.894,2.02,0.46831884057971074,-0.13993517017828205,0.4887784654572553
16,MRtask-16-2026-04-12.mat,warmth_ability,6,3,77.53623188405797,30.30794165316045,428.0,187.0,7.753623188405797,3.0307941653160455,7.659,3.185,0.09462318840579709,-0.15420583468395455,0.1809226001213063
17,MRtask-17-2025-12-06.mat,legacy_xy,1,1,31.93548387096774,23.06451612903226,198.0,101.48387096774194,3.193548387096774,2.306451612903226,2.416,4.788,0.7775483870967741,-2.4815483870967743,2.600512236421778
17,MRtask-17-2025-12-06.mat,legacy_xy,2,1,40.806451612903224,58.387096774193544,252.99999999999997,256.9032258064516,4.080645161290322,5.838709677419355,2.789,7.765,1.291645161290322,-1.9262903225806447,2.31925454177685
17,MRtask-17-2025-12-06.mat,legacy_xy,3,2,59.51612903225807,66.12903225806451,369.00000000000006,290.96774193548384,5.951612903225807,6.612903225806451,6.426,8.527,-0.4743870967741932,-1.9140967741935482,1.9720064854264538
17,MRtask-17-2025-12-06.mat,legacy_xy,4,2,76.29032258064517,57.25806451612904,473.0,251.93548387096777,7.629032258064516,5.725806451612904,8.817,6.716,-1.1879677419354842,-0.9901935483870963,1.5465285704269165
17,MRtask-17-2025-12-06.mat,legacy_xy,5,3,47.90322580645161,10.483870967741936,297.0,46.12903225806452,4.790322580645161,1.0483870967741935,4.894,2.02,-0.1036774193548391,-0.9716129032258065,0.9771287740103448
17,MRtask-17-2025-12-06.mat,legacy_xy,6,3,84.03225806451613,15.645161290322582,521.0,68.83870967741936,8.403225806451612,1.5645161290322582,7.659,3.185,0.7442258064516123,-1.6204838709677418,1.7832105952621382
18,MRtask-18-2026-04-12.mat,warmth_ability,1,1,21.3953488372093,47.098214285714285,92.0,211.0,2.13953488372093,4.709821428571429,2.416,4.788,-0.2764651162790699,-0.07817857142857143,0.28730619476407376
18,MRtask-18-2026-04-12.mat,warmth_ability,2,1,25.348837209302328,75.66964285714286,109.00000000000001,339.0,2.5348837209302326,7.5669642857142865,2.789,7.765,-0.2541162790697675,-0.1980357142857132,0.3221695631510162
18,MRtask-18-2026-04-12.mat,warmth_ability,3,2,66.74418604651163,85.71428571428571,287.0,384.0,6.674418604651163,8.571428571428571,6.426,8.527,0.24841860465116294,0.04442857142857193,0.2523602605324668
18,MRtask-18-2026-04-12.mat,warmth_ability,4,2,89.53488372093024,61.60714285714286,385.0,276.0,8.953488372093023,6.1607142857142865,8.817,6.716,0.136488372093023,-0.5552857142857137,0.5718140433798377
18,MRtask-18-2026-04-12.mat,warmth_ability,5,3,53.72093023255814,16.071428571428573,231.0,72.0,5.372093023255814,1.6071428571428572,4.894,2.02,0.4780930232558136,-0.4128571428571428,0.6316834328158742
18,MRtask-18-2026-04-12.mat,warmth_ability,6,3,78.83720930232559,20.3125,339.00000000000006,91.0,7.88372093023256,2.03125,7.659,3.185,0.2247209302325599,-1.15375,1.1754312225666745
20,MRtask-20-2026-04-12.mat,warmth_ability,1,1,25.183823529411764,50.535714285714285,137.0,283.0,2.5183823529411766,5.053571428571429,2.416,4.788,0.1023823529411767,0.26557142857142857,0.2846231365634935
20,MRtask-20-2026-04-12.mat,warmth_ability,2,1,30.514705882352942,79.64285714285714,166.0,445.99999999999994,3.0514705882352944,7.9642857142857135,2.789,7.765,0.26247058823529423,0.19928571428571384,0.3295536460228418
20,MRtask-20-2026-04-12.mat,warmth_ability,3,2,56.80147058823529,83.39285714285715,309.0,467.00000000000006,5.680147058823529,8.339285714285715,6.426,8.527,-0.7458529411764712,-0.18771428571428395,0.7691119963456664
20,MRtask-20-2026-04-12.mat,warmth_ability,4,2,86.76470588235294,57.49999999999999,472.0,322.0,8.676470588235293,5.75,8.817,6.716,-0.14052941176470668,-0.9660000000000002,0.9761682824036718
20,MRtask-20-2026-04-12.mat,warmth_ability,5,3,48.529411764705884,25.892857142857146,264.0,145.0,4.852941176470588,2.5892857142857144,4.894,2.02,-0.04105882352941226,0.5692857142857144,0.57076444482765
20,MRtask-20-2026-04-12.mat,warmth_ability,6,3,78.125,30.178571428571427,425.0,169.0,7.8125,3.017857142857143,7.659,3.185,0.1535000000000002,-0.16714285714285726,0.22693387736051585
21,MRtask-21-2025-12-09.mat,legacy_xy,1,1,30.407523510971785,42.31974921630094,291.0,342.7899686520376,3.0407523510971783,4.231974921630094,2.416,4.788,0.6247523510971784,-0.5560250783699061,0.8363488434724546
21,MRtask-21-2025-12-09.mat,legacy_xy,2,1,22.25705329153605,62.27795193312434,213.0,504.45141065830717,2.225705329153605,6.227795193312434,2.789,7.765,-0.5632946708463953,-1.5372048066875657,1.6371620273837606
21,MRtask-21-2025-12-09.mat,legacy_xy,3,2,60.083594566353185,73.14524555903866,575.0,592.4764890282131,6.0083594566353185,7.314524555903866,6.426,8.527,-0.4176405433646817,-1.2124754440961336,1.2823885238094042
21,MRtask-21-2025-12-09.mat,legacy_xy,4,2,83.07210031347962,54.33646812957158,795.0,440.1253918495298,8.307210031347962,5.433646812957158,8.817,6.716,-0.5097899686520382,-1.2823531870428422,1.3799693867826128
21,MRtask-21-2025-12-09.mat,legacy_xy,5,3,49.843260188087775,25.809822361546498,477.0,209.05956112852664,4.984326018808777,2.5809822361546497,4.894,2.02,0.09032601880877689,0.5609822361546497,0.5682075843870044
21,MRtask-21-2025-12-09.mat,legacy_xy,6,3,77.01149425287356,26.227795193312435,737.0,212.44514106583074,7.701149425287356,2.6227795193312438,7.659,3.185,0.04214942528735577,-0.5622204806687563,0.5637982289218917
23,MRtask-23-2025-12-09.mat,legacy_xy,1,1,27.719298245614034,52.63157894736842,157.99999999999997,305.2631578947368,2.7719298245614032,5.263157894736842,2.416,4.788,0.3559298245614033,0.47515789473684134,0.5936843142134197
23,MRtask-23-2025-12-09.mat,legacy_xy,2,1,38.24561403508772,88.94736842105263,218.0,515.8947368421052,3.8245614035087723,8.894736842105264,2.789,7.765,1.0355614035087721,1.129736842105264,1.5325445353551825
23,MRtask-23-2025-12-09.mat,legacy_xy,3,2,71.40350877192982,94.56140350877193,407.0,548.4561403508773,7.140350877192983,9.456140350877194,6.426,8.527,0.7143508771929827,0.9291403508771943,1.1720063853813167
23,MRtask-23-2025-12-09.mat,legacy_xy,4,2,91.40350877192982,74.03508771929825,521.0,429.4035087719298,9.140350877192983,7.4035087719298245,8.817,6.716,0.3233508771929827,0.6875087719298243,0.7597526579498926
23,MRtask-23-2025-12-09.mat,legacy_xy,5,3,50.526315789473685,25.087719298245613,288.0,145.50877192982458,5.052631578947368,2.5087719298245617,4.894,2.02,0.158631578947368,0.48877192982456164,0.5138696111113804
23,MRtask-23-2025-12-09.mat,legacy_xy,6,3,84.91228070175438,42.63157894736842,484.0,247.26315789473685,8.491228070175438,4.2631578947368425,7.659,3.185,0.8322280701754385,1.0781578947368424,1.3619941287580188
29,MRtask-29-2026-03-16.mat,warmth_ability,1,1,31.636363636363633,49.82758620689655,174.0,288.99999999999994,3.1636363636363636,4.982758620689655,2.416,4.788,0.7476363636363637,0.19475862068965455,0.772587245923942
29,MRtask-29-2026-03-16.mat,warmth_ability,2,1,36.72727272727273,76.37931034482759,202.0,443.0,3.6727272727272724,7.637931034482759,2.789,7.765,0.8837272727272723,-0.12706896551724078,0.8928160026341397
29,MRtask-29-2026-03-16.mat,warmth_ability,3,2,71.45454545454545,86.03448275862068,392.99999999999994,498.99999999999994,7.145454545454545,8.603448275862068,6.426,8.527,0.7194545454545445,0.07644827586206837,0.7235047904868965
